ID         ,UserID     ,FullName                                                                                                                                                                                                                                                       ,Age        ,Email                                                                                                                                                                                                                                                          ,RegistrationDate,LastLoginDate   ,PurchaseTotal           ,RecordLastUpdated      
,,,,,,,,
1,101,John Doe                                                                                                                                                                                                                                                       ,30,johndoe@example.com                                                                                                                                                                                                                                            ,      2021-01-10,      2023-03-01,150.00,26-07-2024 10:03:18
2,102,Jane Smith                                                                                                                                                                                                                                                     ,25,janesmith@example.com                                                                                                                                                                                                                                          ,      2020-05-15,      2023-02-25,200.00,26-07-2024 10:03:18
3,103,Emily Johnson                                                                                                                                                                                                                                                  ,22,emilyjohnson@example.com                                                                                                                                                                                                                                       ,      2019-03-23,      2023-01-30,120.50,26-07-2024 10:03:18
4,104,Michael Brown                                                                                                                                                                                                                                                  ,35,michaelbrown@example.com                                                                                                                                                                                                                                       ,      2018-07-18,      2023-02-20,300.75,26-07-2024 10:03:18
5,105,Jessica Garcia                                                                                                                                                                                                                                                 ,28,jessicagarcia@example.com                                                                                                                                                                                                                                      ,      2022-08-05,      2023-02-18,180.25,26-07-2024 10:03:18
6,106,David Miller                                                                                                                                                                                                                                                   ,40,davidmiller@example.com                                                                                                                                                                                                                                        ,      2017-12-12,      2023-02-15,220.4,26-07-2024 10:03:18
7,107,Sarah Martinez                                                                                                                                                                                                                                                 ,33,sarahmartinez@example.com                                                                                                                                                                                                                                      ,      2018-11-30,      2023-02-10,140.6,26-07-2024 10:03:18
8,108,James Taylor                                                                                                                                                                                                                                                   ,29,jamestaylor@example.com                                                                                                                                                                                                                                        ,      2019-06-22,      2023-02-05,210.00,26-07-2024 10:03:18
9,109,Linda Anderson                                                                                                                                                                                                                                                 ,27,lindaanderson@example.com                                                                                                                                                                                                                                      ,      2021-04-16,      2023-01-25,165.95,26-07-2024 10:03:18
10,110,Robert Wilson                                                                                                                                                                                                                                                  ,31,robertwilson@example.com                                                                                                                                                                                                                                       ,      2020-02-20,      2023-01-20,175.00,26-07-2024 10:03:18
11,111,Alice Johnson                                                                                                                                                                                                                                                  ,0,alicejohnson@example.com                                                                                                                                                                                                                                       ,      2022-07-15,      2001-01-01,0.00,26-07-2024 10:03:45
12,112,Bob Marley                                                                                                                                                                                                                                                     ,27,bobmarley@example.com                                                                                                                                                                                                                                          ,      2021-05-20,      2023-02-28,0.00,26-07-2024 10:03:45
13,113,Cathy Smith                                                                                                                                                                                                                                                    ,0,cathysmith@example.com                                                                                                                                                                                                                                         ,      2019-10-12,      2023-02-27,210.50,26-07-2024 10:03:45
14,114,Derek Nowak                                                                                                                                                                                                                                                    ,29,dereknowak@example.com                                                                                                                                                                                                                                         ,      2020-03-17,      2023-02-24,180.75,26-07-2024 10:03:45
15,115,Eva Green                                                                                                                                                                                                                                                      ,0,evagreen@example.com                                                                                                                                                                                                                                           ,      2018-08-22,      2023-02-23,0.00,26-07-2024 10:03:45
16,116,Frank Poe                                                                                                                                                                                                                                                      ,34,frankpoe@example.com                                                                                                                                                                                                                                           ,      2019-11-13,      2023-02-22,190.4,26-07-2024 10:03:45
17,117,George Kay                                                                                                                                                                                                                                                     ,28,georgekay@example.com                                                                                                                                                                                                                                          ,      2021-06-07,      2023-02-21,170.00,26-07-2024 10:03:45
18,118,Hanna Lux                                                                                                                                                                                                                                                      ,32,hannalux@example.com                                                                                                                                                                                                                                           ,      2019-02-18,      2023-02-20,220.15,26-07-2024 10:03:45
19,119,Ian Volt                                                                                                                                                                                                                                                       ,26,ianvolt@example.com                                                                                                                                                                                                                                            ,      2020-07-23,      2023-02-19,130.00,26-07-2024 10:03:45
20,120,Julia Nex                                                                                                                                                                                                                                                      ,24,julianex@example.com                                                                                                                                                                                                                                           ,      2022-01-12,      2023-02-18,145.6,26-07-2024 10:03:45
21,121,Kevin Yolt                                                                                                                                                                                                                                                     ,0,kevinyolt@example.com                                                                                                                                                                                                                                          ,      2021-03-14,      2023-02-17,0.00,26-07-2024 10:03:45
22,122,Lana Molt                                                                                                                                                                                                                                                      ,31,lanamolt@example.com                                                                                                                                                                                                                                           ,      2020-09-09,      2023-02-16,155.3,26-07-2024 10:03:45
23,123,Mike Dolt                                                                                                                                                                                                                                                      ,33,mikedolt@example.com                                                                                                                                                                                                                                           ,      2018-05-05,      2023-02-15,205.00,26-07-2024 10:03:45
24,124,Nina Colt                                                                                                                                                                                                                                                      ,27,ninacolt@example.com                                                                                                                                                                                                                                           ,      2019-07-29,      2023-02-14,160.75,26-07-2024 10:03:45
